"","part_id","part_uid","sday_id","wave","wave_bin","hh_size","part_face_mask","part_elevated_risk","area_3_name","part_vacc","holiday","part_age_cat","contact_day","dayofweek","ref_date","day_number","n"
"1","2000109","be_20001",2020-11-11,9,"1","2","no","no","Vlaams Gewest","No","1","Adult","weekday","Tue",2020-11-11,0,1
"2","2000110","be_20001",2020-11-28,10,"2","2","no","no","Vlaams Gewest","No","0","Adult","weekday","Fri",2020-11-11,0.0465753424657534,1
"3","2000111","be_20001",2020-12-10,11,"3","2","no","no","Vlaams Gewest","No","0","Adult","weekday","Wed",2020-11-11,0.0794520547945206,1
"4","2000112","be_20001",2020-12-23,12,"4","2","yes","no","Vlaams Gewest","No","1","Adult","weekday","Tue",2020-11-11,0.115068493150685,1
"5","2000114","be_20001",2021-01-20,14,"6","2","no","no","Vlaams Gewest","No","0","Adult","weekday","Tue",2020-11-11,0.191780821917808,1
"6","2000115","be_20001",2021-02-05,15,"7","2","no","no","Vlaams Gewest","No","0","Adult","weekday","Thu",2020-11-11,0.235616438356164,1
"7","2000116","be_20001",2021-02-21,16,"8p","2","no","no","Vlaams Gewest","No","1","Adult","weekend","Sat",2020-11-11,0.279452054794521,1
"8","2000118","be_20001",2021-03-16,18,"8p","2","no","no","Vlaams Gewest","No","0","Adult","weekday","Mon",2020-11-11,0.342465753424658,1
"9","2000119","be_20001",2021-04-05,19,"8p","2","no","no","Vlaams Gewest","No","1","Adult","weekend","Sun",2020-11-11,0.397260273972603,1
"10","2000120","be_20001",2021-04-16,20,"8p","2","no","yes","Vlaams Gewest","No","1","Adult","weekday","Thu",2020-11-11,0.427397260273973,1
"11","2000121","be_20001",2021-04-27,21,"8p","2","no","yes","Vlaams Gewest","No","0","Adult","weekday","Mon",2020-11-11,0.457534246575342,1
"12","2000122","be_20001",2021-05-15,22,"8p","2","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Fri",2020-11-11,0.506849315068493,1
"13","2000123","be_20001",2021-05-27,23,"8p","2","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Wed",2020-11-11,0.53972602739726,1
"14","2000124","be_20001",2021-06-10,24,"8p","2","yes","yes","Vlaams Gewest","Yes","0","Adult","weekday","Wed",2020-11-11,0.578082191780822,1
"15","2000125","be_20001",2021-06-24,25,"8p","2","no","yes","Vlaams Gewest","Yes","1","Adult","weekday","Wed",2020-11-11,0.616438356164384,1
"16","2000126","be_20001",2021-07-12,26,"8p","2","yes","yes","Vlaams Gewest","Yes","1","Adult","weekend","Sun",2020-11-11,0.665753424657534,3
"17","2000127","be_20001",2021-07-25,27,"8p","2","yes","yes","Vlaams Gewest","Yes","1","Adult","weekend","Sat",2020-11-11,0.701369863013699,2
"18","2000128","be_20001",2021-08-05,28,"8p","2","no","yes","Vlaams Gewest","Yes","1","Adult","weekday","Wed",2020-11-11,0.731506849315068,1
"19","2000130","be_20001",2021-09-01,30,"8p","2","no","yes","Vlaams Gewest","Yes","1","Adult","weekday","Tue",2020-11-11,0.805479452054795,1
"20","2000131","be_20001",2021-09-14,31,"8p","2","yes","yes","Vlaams Gewest","Yes","1","Adult","weekday","Mon",2020-11-11,0.841095890410959,1
"21","2000132","be_20001",2021-10-01,32,"8p","2","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Thu",2020-11-11,0.887671232876712,1
"22","2000133","be_20001",2021-10-16,33,"8p","2","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Fri",2020-11-11,0.928767123287671,1
"23","2000134","be_20001",2021-11-01,34,"8p","2","no","yes","Vlaams Gewest","Yes","1","Adult","weekend","Sun",2020-11-11,0.972602739726027,1
"24","2000135","be_20001",2021-11-11,35,"8p","2","no","yes","Vlaams Gewest","Yes","1","Adult","weekday","Wed",2020-11-11,1,1
"25","2000136","be_20001",2021-11-26,36,"8p","2","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Thu",2020-11-11,1.04109589041096,1
"26","2000138","be_20001",2021-12-23,38,"8p","2","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Wed",2020-11-11,1.11506849315068,1
"27","2000139","be_20001",2022-01-04,39,"8p","2","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Mon",2020-11-11,1.14794520547945,1
"28","2000140","be_20001",2022-01-20,40,"8p","2","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Wed",2020-11-11,1.19178082191781,1
"29","2000141","be_20001",2022-02-03,41,"8p","2","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Wed",2020-11-11,1.23013698630137,1
"30","2000209","be_20002",2020-11-11,9,"1","3","no","yes","Vlaams Gewest","No","1","Adult","weekday","Tue",2020-11-11,0,1
"31","2000210","be_20002",2020-11-26,10,"2","3","no","yes","Vlaams Gewest","No","0","Adult","weekday","Wed",2020-11-11,0.0410958904109589,1
"32","2000211","be_20002",2020-12-10,11,"3","3","yes","yes","Vlaams Gewest","No","0","Adult","weekday","Wed",2020-11-11,0.0794520547945206,1
"33","2000214","be_20002",2021-01-21,14,"4","3","no","no","Vlaams Gewest","No","0","Adult","weekday","Wed",2020-11-11,0.194520547945205,1
"34","2000216","be_20002",2021-02-21,16,"5","3","no","yes","Vlaams Gewest","No","1","Adult","weekend","Sat",2020-11-11,0.279452054794521,1
"35","2000218","be_20002",2021-03-16,18,"6","3","no","no","Vlaams Gewest","No","0","Adult","weekday","Mon",2020-11-11,0.342465753424658,1
"36","2000219","be_20002",2021-03-31,19,"7","3","no","yes","Vlaams Gewest","No","0","Adult","weekday","Tue",2020-11-11,0.383561643835616,1
"37","2000220","be_20002",2021-04-14,20,"8p","3","no","yes","Vlaams Gewest","No","1","Adult","weekday","Tue",2020-11-11,0.421917808219178,1
"38","2000221","be_20002",2021-04-28,21,"8p","3","yes","yes","Vlaams Gewest","No","0","Adult","weekday","Tue",2020-11-11,0.46027397260274,1
"39","2000222","be_20002",2021-05-17,22,"8p","3","no","yes","Vlaams Gewest","Yes","0","Adult","weekend","Sun",2020-11-11,0.512328767123288,1
"40","2000223","be_20002",2021-05-27,23,"8p","3","no","yes","Vlaams Gewest","Yes","0","Adult","weekday","Wed",2020-11-11,0.53972602739726,1
"41","2000224","be_20002",2021-06-14,24,"8p","3","yes","yes","Vlaams Gewest","Yes","0","Adult","weekend","Sun",2020-11-11,0.589041095890411,1
"42","2000226","be_20002",2021-07-12,26,"8p","3","no","yes","Vlaams Gewest","Yes","1","Adult","weekend","Sun",2020-11-11,0.665753424657534,2
"43","2000228","be_20002",2021-08-05,28,"8p","3","yes","yes","Vlaams Gewest","Yes","1","Adult","weekday","Wed",2020-11-11,0.731506849315068,1
"44","2000231","be_20002",2021-09-14,31,"8p","3","no","yes","Vlaams Gewest","Yes","1","Adult","weekday","Mon",2020-11-11,0.841095890410959,1
